Importers,Exported value in 2010,Exported value in 2011,Exported value in 2012,Exported value in 2013,Exported value in 2014,Exported value in 2015,Exported value in 2016,Exported value in 2017,Exported value in 2018,Exported value in 2019
Pakistan,179037,186663,262500,384914,501905,486393,529649,538291,772609,775442
Chile,397554,502532,599954,528166,486819,615017,660783,588716,755447,734992
Nigeria,203400,290662,384814,366210,578494,802177,683670,649800,791549,725426
Sweden,1023380,1089954,997928,960845,923947,936813,917104,865749,844926,702447
Colombia,182826,325549,329195,440587,682488,694720,501584,469549,794177,686723
New Zealand,493006,533854,532962,532788,587094,582903,543588,535059,660574,673233
Sri Lanka,342984,404411,401998,481057,492494,516770,514255,521240,519561,479083
Togo,8957,9224,6085,5898,15848,74994,188855,244131,308199,420378
Denmark,758342,733428,664135,601745,563525,530516,445733,451605,464069,416292
Romania,319780,364165,195811,251039,338398,318969,440691,418115,476958,401379
Peru,143279,209649,247214,276684,376668,422732,504704,432656,514832,399461
Qatar,53024,67880,93427,96509,110845,122042,109013,182234,325409,377487
